,Branch Misses,Branches,Context Switch,CPU Migration,Cycles,Instructions,Page Faults,Executable,Sparsity Level,Stride,Vector Size
0,,,,0.0,,,,results_vector_mlir_sparsity_50_stride_1,50,1,32
1,,,,,,,82.0,results_vector_mlir_sparsity_50_stride_1,50,1,32
2,,,,,13132451.0,,,results_vector_mlir_sparsity_50_stride_1,50,1,32
3,,,,,,2136169.0,,results_vector_mlir_sparsity_50_stride_1,50,1,32
4,,130334.0,,,,,,results_vector_mlir_sparsity_50_stride_1,50,1,32
5,15324.0,,,,,,,results_vector_mlir_sparsity_50_stride_1,50,1,32
6,,,0.0,,,,,results_vector_mlir_sparsity_50_stride_1,50,1,32
7,14859.0,,,,,,,results_vector_mlir_sparsity_50_stride_2,50,2,32
8,,130541.0,,,,,,results_vector_mlir_sparsity_50_stride_2,50,2,32
9,,,0.0,,,,,results_vector_mlir_sparsity_50_stride_2,50,2,32
10,,,,0.0,,,,results_vector_mlir_sparsity_50_stride_2,50,2,32
11,,,,,,,83.0,results_vector_mlir_sparsity_50_stride_2,50,2,32
12,,,,,12946885.0,,,results_vector_mlir_sparsity_50_stride_2,50,2,32
13,,,,,,2137904.0,,results_vector_mlir_sparsity_50_stride_2,50,2,32
14,,,,,13171278.0,,,results_vector_mlir_sparsity_50_stride_3,50,3,32
15,,131465.0,,,,,,results_vector_mlir_sparsity_50_stride_3,50,3,32
16,,,,0.0,,,,results_vector_mlir_sparsity_50_stride_3,50,3,32
17,,,0.0,,,,,results_vector_mlir_sparsity_50_stride_3,50,3,32
18,14628.0,,,,,,,results_vector_mlir_sparsity_50_stride_3,50,3,32
19,,,,,,2145249.0,,results_vector_mlir_sparsity_50_stride_3,50,3,32
20,,,,,,,83.0,results_vector_mlir_sparsity_50_stride_3,50,3,32
21,,,0.0,,,,,results_vector_mlir_sparsity_55_stride_1,55,1,32
22,,,,0.0,,,,results_vector_mlir_sparsity_55_stride_1,55,1,32
23,14450.0,,,,,,,results_vector_mlir_sparsity_55_stride_1,55,1,32
24,,128825.0,,,,,,results_vector_mlir_sparsity_55_stride_1,55,1,32
25,,,,,,,83.0,results_vector_mlir_sparsity_55_stride_1,55,1,32
26,,,,,12211278.0,,,results_vector_mlir_sparsity_55_stride_1,55,1,32
27,,,,,,2016720.0,,results_vector_mlir_sparsity_55_stride_1,55,1,32
28,14218.0,,,,,,,results_vector_mlir_sparsity_55_stride_2,55,2,32
29,,128500.0,,,,,,results_vector_mlir_sparsity_55_stride_2,55,2,32
30,,,0.0,,,,,results_vector_mlir_sparsity_55_stride_2,55,2,32
31,,,,0.0,,,,results_vector_mlir_sparsity_55_stride_2,55,2,32
32,,,,,,,83.0,results_vector_mlir_sparsity_55_stride_2,55,2,32
33,,,,,12022657.0,,,results_vector_mlir_sparsity_55_stride_2,55,2,32
34,,,,,,2014418.0,,results_vector_mlir_sparsity_55_stride_2,55,2,32
35,,,0.0,,,,,results_vector_mlir_sparsity_55_stride_3,55,3,32
36,,,,0.0,,,,results_vector_mlir_sparsity_55_stride_3,55,3,32
37,,,,,,,83.0,results_vector_mlir_sparsity_55_stride_3,55,3,32
38,,128614.0,,,,,,results_vector_mlir_sparsity_55_stride_3,55,3,32
39,14869.0,,,,,,,results_vector_mlir_sparsity_55_stride_3,55,3,32
40,,,,,12259996.0,,,results_vector_mlir_sparsity_55_stride_3,55,3,32
41,,,,,,2015582.0,,results_vector_mlir_sparsity_55_stride_3,55,3,32
42,14398.0,,,,,,,results_vector_mlir_sparsity_60_stride_1,60,1,32
43,,,,,,1887297.0,,results_vector_mlir_sparsity_60_stride_1,60,1,32
44,,,0.0,,,,,results_vector_mlir_sparsity_60_stride_1,60,1,32
45,,125823.0,,,,,,results_vector_mlir_sparsity_60_stride_1,60,1,32
46,,,,,,,83.0,results_vector_mlir_sparsity_60_stride_1,60,1,32
47,,,,,11233303.0,,,results_vector_mlir_sparsity_60_stride_1,60,1,32
48,,,,0.0,,,,results_vector_mlir_sparsity_60_stride_1,60,1,32
49,14069.0,,,,,,,results_vector_mlir_sparsity_60_stride_2,60,2,32
50,,126205.0,,,,,,results_vector_mlir_sparsity_60_stride_2,60,2,32
51,,,,,,1890885.0,,results_vector_mlir_sparsity_60_stride_2,60,2,32
52,,,,,11177546.0,,,results_vector_mlir_sparsity_60_stride_2,60,2,32
53,,,,,,,83.0,results_vector_mlir_sparsity_60_stride_2,60,2,32
54,,,,0.0,,,,results_vector_mlir_sparsity_60_stride_2,60,2,32
55,,,0.0,,,,,results_vector_mlir_sparsity_60_stride_2,60,2,32
56,14291.0,,,,,,,results_vector_mlir_sparsity_60_stride_3,60,3,32
57,,127103.0,,,,,,results_vector_mlir_sparsity_60_stride_3,60,3,32
58,,,,,,1896312.0,,results_vector_mlir_sparsity_60_stride_3,60,3,32
59,,,,,11397491.0,,,results_vector_mlir_sparsity_60_stride_3,60,3,32
60,,,,,,,83.0,results_vector_mlir_sparsity_60_stride_3,60,3,32
61,,,,0.0,,,,results_vector_mlir_sparsity_60_stride_3,60,3,32
62,,,0.0,,,,,results_vector_mlir_sparsity_60_stride_3,60,3,32
63,,123363.0,,,,,,results_vector_mlir_sparsity_65_stride_1,65,1,32
64,,,,,,1762091.0,,results_vector_mlir_sparsity_65_stride_1,65,1,32
65,,,,,10264925.0,,,results_vector_mlir_sparsity_65_stride_1,65,1,32
66,,,,,,,83.0,results_vector_mlir_sparsity_65_stride_1,65,1,32
67,,,,0.0,,,,results_vector_mlir_sparsity_65_stride_1,65,1,32
68,,,0.0,,,,,results_vector_mlir_sparsity_65_stride_1,65,1,32
69,13818.0,,,,,,,results_vector_mlir_sparsity_65_stride_1,65,1,32
70,,,,0.0,,,,results_vector_mlir_sparsity_65_stride_2,65,2,32
71,,,,,,,82.0,results_vector_mlir_sparsity_65_stride_2,65,2,32
72,,,,,10215079.0,,,results_vector_mlir_sparsity_65_stride_2,65,2,32
73,,,,,,1759522.0,,results_vector_mlir_sparsity_65_stride_2,65,2,32
74,,122887.0,,,,,,results_vector_mlir_sparsity_65_stride_2,65,2,32
75,14110.0,,,,,,,results_vector_mlir_sparsity_65_stride_2,65,2,32
76,,,0.0,,,,,results_vector_mlir_sparsity_65_stride_2,65,2,32
77,14171.0,,,,,,,results_vector_mlir_sparsity_65_stride_3,65,3,32
78,,124520.0,,,,,,results_vector_mlir_sparsity_65_stride_3,65,3,32
79,,,,,,1772233.0,,results_vector_mlir_sparsity_65_stride_3,65,3,32
80,,,0.0,,,,,results_vector_mlir_sparsity_65_stride_3,65,3,32
81,,,,,10340052.0,,,results_vector_mlir_sparsity_65_stride_3,65,3,32
82,,,,0.0,,,,results_vector_mlir_sparsity_65_stride_3,65,3,32
83,,,,,,,83.0,results_vector_mlir_sparsity_65_stride_3,65,3,32
84,,,,,9384461.0,,,results_vector_mlir_sparsity_70_stride_1,70,1,32
85,14877.0,,,,,,,results_vector_mlir_sparsity_70_stride_1,70,1,32
86,,,0.0,,,,,results_vector_mlir_sparsity_70_stride_1,70,1,32
87,,,,0.0,,,,results_vector_mlir_sparsity_70_stride_1,70,1,32
88,,,,,,,83.0,results_vector_mlir_sparsity_70_stride_1,70,1,32
89,,,,,,1643043.0,,results_vector_mlir_sparsity_70_stride_1,70,1,32
90,,121573.0,,,,,,results_vector_mlir_sparsity_70_stride_1,70,1,32
91,,,,,9381635.0,,,results_vector_mlir_sparsity_70_stride_2,70,2,32
92,14132.0,,,,,,,results_vector_mlir_sparsity_70_stride_2,70,2,32
93,,,0.0,,,,,results_vector_mlir_sparsity_70_stride_2,70,2,32
94,,,,,,1638682.0,,results_vector_mlir_sparsity_70_stride_2,70,2,32
95,,,,,,,83.0,results_vector_mlir_sparsity_70_stride_2,70,2,32
96,,121203.0,,,,,,results_vector_mlir_sparsity_70_stride_2,70,2,32
97,,,,0.0,,,,results_vector_mlir_sparsity_70_stride_2,70,2,32
98,14542.0,,,,,,,results_vector_mlir_sparsity_70_stride_3,70,3,32
99,,122348.0,,,,,,results_vector_mlir_sparsity_70_stride_3,70,3,32
100,,,,,,1646160.0,,results_vector_mlir_sparsity_70_stride_3,70,3,32
101,,,,,9384137.0,,,results_vector_mlir_sparsity_70_stride_3,70,3,32
102,,,,,,,83.0,results_vector_mlir_sparsity_70_stride_3,70,3,32
103,,,,0.0,,,,results_vector_mlir_sparsity_70_stride_3,70,3,32
104,,,0.0,,,,,results_vector_mlir_sparsity_70_stride_3,70,3,32
105,,,,,,,82.0,results_vector_mlir_sparsity_75_stride_1,75,1,32
106,,,0.0,,,,,results_vector_mlir_sparsity_75_stride_1,75,1,32
107,,,,0.0,,,,results_vector_mlir_sparsity_75_stride_1,75,1,32
108,,,,,8409274.0,,,results_vector_mlir_sparsity_75_stride_1,75,1,32
109,,,,,,1512980.0,,results_vector_mlir_sparsity_75_stride_1,75,1,32
110,,118866.0,,,,,,results_vector_mlir_sparsity_75_stride_1,75,1,32
111,14314.0,,,,,,,results_vector_mlir_sparsity_75_stride_1,75,1,32
112,,,,0.0,,,,results_vector_mlir_sparsity_75_stride_2,75,2,32
113,,,0.0,,,,,results_vector_mlir_sparsity_75_stride_2,75,2,32
114,,,,,,,82.0,results_vector_mlir_sparsity_75_stride_2,75,2,32
115,13709.0,,,,,,,results_vector_mlir_sparsity_75_stride_2,75,2,32
116,,,,,,1517146.0,,results_vector_mlir_sparsity_75_stride_2,75,2,32
117,,119082.0,,,,,,results_vector_mlir_sparsity_75_stride_2,75,2,32
118,,,,,8512421.0,,,results_vector_mlir_sparsity_75_stride_2,75,2,32
119,,,,,,,82.0,results_vector_mlir_sparsity_75_stride_3,75,3,32
120,,118977.0,,,,,,results_vector_mlir_sparsity_75_stride_3,75,3,32
121,14225.0,,,,,,,results_vector_mlir_sparsity_75_stride_3,75,3,32
122,,,,,,1513807.0,,results_vector_mlir_sparsity_75_stride_3,75,3,32
123,,,0.0,,,,,results_vector_mlir_sparsity_75_stride_3,75,3,32
124,,,,0.0,,,,results_vector_mlir_sparsity_75_stride_3,75,3,32
125,,,,,8432448.0,,,results_vector_mlir_sparsity_75_stride_3,75,3,32
126,,,0.0,,,,,results_vector_mlir_sparsity_80_stride_1,80,1,32
127,,,,0.0,,,,results_vector_mlir_sparsity_80_stride_1,80,1,32
128,,,,,,,82.0,results_vector_mlir_sparsity_80_stride_1,80,1,32
129,,,,,7353547.0,,,results_vector_mlir_sparsity_80_stride_1,80,1,32
130,,,,,,1382996.0,,results_vector_mlir_sparsity_80_stride_1,80,1,32
131,,115829.0,,,,,,results_vector_mlir_sparsity_80_stride_1,80,1,32
132,13980.0,,,,,,,results_vector_mlir_sparsity_80_stride_1,80,1,32
133,,,,0.0,,,,results_vector_mlir_sparsity_80_stride_2,80,2,32
134,14127.0,,,,,,,results_vector_mlir_sparsity_80_stride_2,80,2,32
135,,116542.0,,,,,,results_vector_mlir_sparsity_80_stride_2,80,2,32
136,,,,,,1389964.0,,results_vector_mlir_sparsity_80_stride_2,80,2,32
137,,,,,7581081.0,,,results_vector_mlir_sparsity_80_stride_2,80,2,32
138,,,,,,,82.0,results_vector_mlir_sparsity_80_stride_2,80,2,32
139,,,0.0,,,,,results_vector_mlir_sparsity_80_stride_2,80,2,32
140,,,0.0,,,,,results_vector_mlir_sparsity_80_stride_3,80,3,32
141,,,,0.0,,,,results_vector_mlir_sparsity_80_stride_3,80,3,32
142,13786.0,,,,,,,results_vector_mlir_sparsity_80_stride_3,80,3,32
143,,,,,7479215.0,,,results_vector_mlir_sparsity_80_stride_3,80,3,32
144,,,,,,1395763.0,,results_vector_mlir_sparsity_80_stride_3,80,3,32
145,,117311.0,,,,,,results_vector_mlir_sparsity_80_stride_3,80,3,32
146,,,,,,,82.0,results_vector_mlir_sparsity_80_stride_3,80,3,32
147,,,0.0,,,,,results_vector_mlir_sparsity_85_stride_1,85,1,32
148,,,,0.0,,,,results_vector_mlir_sparsity_85_stride_1,85,1,32
149,,,,,,,82.0,results_vector_mlir_sparsity_85_stride_1,85,1,32
150,,,,,6473136.0,,,results_vector_mlir_sparsity_85_stride_1,85,1,32
151,,114987.0,,,,,,results_vector_mlir_sparsity_85_stride_1,85,1,32
152,14165.0,,,,,,,results_vector_mlir_sparsity_85_stride_1,85,1,32
153,,,,,,1272039.0,,results_vector_mlir_sparsity_85_stride_1,85,1,32
154,,,,,,,81.0,results_vector_mlir_sparsity_85_stride_2,85,2,32
155,,,,,6469336.0,,,results_vector_mlir_sparsity_85_stride_2,85,2,32
156,,,,0.0,,,,results_vector_mlir_sparsity_85_stride_2,85,2,32
157,,,,,,1254383.0,,results_vector_mlir_sparsity_85_stride_2,85,2,32
158,,112871.0,,,,,,results_vector_mlir_sparsity_85_stride_2,85,2,32
159,13676.0,,,,,,,results_vector_mlir_sparsity_85_stride_2,85,2,32
160,,,0.0,,,,,results_vector_mlir_sparsity_85_stride_2,85,2,32
161,,,,,,,82.0,results_vector_mlir_sparsity_85_stride_3,85,3,32
162,,,0.0,,,,,results_vector_mlir_sparsity_85_stride_3,85,3,32
163,14222.0,,,,,,,results_vector_mlir_sparsity_85_stride_3,85,3,32
164,,114705.0,,,,,,results_vector_mlir_sparsity_85_stride_3,85,3,32
165,,,,,,1270444.0,,results_vector_mlir_sparsity_85_stride_3,85,3,32
166,,,,,6575183.0,,,results_vector_mlir_sparsity_85_stride_3,85,3,32
167,,,,0.0,,,,results_vector_mlir_sparsity_85_stride_3,85,3,32
168,,,,,,1140985.0,,results_vector_mlir_sparsity_90_stride_1,90,1,32
169,,,,,5447274.0,,,results_vector_mlir_sparsity_90_stride_1,90,1,32
170,,,,0.0,,,,results_vector_mlir_sparsity_90_stride_1,90,1,32
171,13998.0,,,,,,,results_vector_mlir_sparsity_90_stride_1,90,1,32
172,,,,,,,82.0,results_vector_mlir_sparsity_90_stride_1,90,1,32
173,,111829.0,,,,,,results_vector_mlir_sparsity_90_stride_1,90,1,32
174,,,0.0,,,,,results_vector_mlir_sparsity_90_stride_1,90,1,32
175,,111959.0,,,,,,results_vector_mlir_sparsity_90_stride_2,90,2,32
176,,,,,,1141277.0,,results_vector_mlir_sparsity_90_stride_2,90,2,32
177,,,,,5441254.0,,,results_vector_mlir_sparsity_90_stride_2,90,2,32
178,,,,,,,82.0,results_vector_mlir_sparsity_90_stride_2,90,2,32
179,,,,0.0,,,,results_vector_mlir_sparsity_90_stride_2,90,2,32
180,,,0.0,,,,,results_vector_mlir_sparsity_90_stride_2,90,2,32
181,13698.0,,,,,,,results_vector_mlir_sparsity_90_stride_2,90,2,32
182,14031.0,,,,,,,results_vector_mlir_sparsity_90_stride_3,90,3,32
183,,111448.0,,,,,,results_vector_mlir_sparsity_90_stride_3,90,3,32
184,,,0.0,,,,,results_vector_mlir_sparsity_90_stride_3,90,3,32
185,,,,0.0,,,,results_vector_mlir_sparsity_90_stride_3,90,3,32
186,,,,,,,82.0,results_vector_mlir_sparsity_90_stride_3,90,3,32
187,,,,,5245985.0,,,results_vector_mlir_sparsity_90_stride_3,90,3,32
188,,,,,,1135806.0,,results_vector_mlir_sparsity_90_stride_3,90,3,32
189,,,,,,,82.0,results_vector_mlir_sparsity_95_stride_1,95,1,32
190,,108805.0,,,,,,results_vector_mlir_sparsity_95_stride_1,95,1,32
191,13684.0,,,,,,,results_vector_mlir_sparsity_95_stride_1,95,1,32
192,,,,0.0,,,,results_vector_mlir_sparsity_95_stride_1,95,1,32
193,,,0.0,,,,,results_vector_mlir_sparsity_95_stride_1,95,1,32
194,,,,,4484119.0,,,results_vector_mlir_sparsity_95_stride_1,95,1,32
195,,,,,,1020639.0,,results_vector_mlir_sparsity_95_stride_1,95,1,32
196,,,,0.0,,,,results_vector_mlir_sparsity_95_stride_2,95,2,32
197,,,,,4545017.0,,,results_vector_mlir_sparsity_95_stride_2,95,2,32
198,,,,,,,82.0,results_vector_mlir_sparsity_95_stride_2,95,2,32
199,14036.0,,,,,,,results_vector_mlir_sparsity_95_stride_2,95,2,32
200,,,0.0,,,,,results_vector_mlir_sparsity_95_stride_2,95,2,32
201,,,,,,1017115.0,,results_vector_mlir_sparsity_95_stride_2,95,2,32
202,,109679.0,,,,,,results_vector_mlir_sparsity_95_stride_2,95,2,32
203,,,,,,,82.0,results_vector_mlir_sparsity_95_stride_3,95,3,32
204,,,,0.0,,,,results_vector_mlir_sparsity_95_stride_3,95,3,32
205,,,,,,1012814.0,,results_vector_mlir_sparsity_95_stride_3,95,3,32
206,,109186.0,,,,,,results_vector_mlir_sparsity_95_stride_3,95,3,32
207,13618.0,,,,,,,results_vector_mlir_sparsity_95_stride_3,95,3,32
208,,,0.0,,,,,results_vector_mlir_sparsity_95_stride_3,95,3,32
209,,,,,4439873.0,,,results_vector_mlir_sparsity_95_stride_3,95,3,32
210,,,,0.0,,,,results_vector_mlir_sparsity_95_stride_4,95,4,32
211,,,,,,,82.0,results_vector_mlir_sparsity_95_stride_4,95,4,32
212,,,,,,1016353.0,,results_vector_mlir_sparsity_95_stride_4,95,4,32
213,,109551.0,,,,,,results_vector_mlir_sparsity_95_stride_4,95,4,32
214,13803.0,,,,,,,results_vector_mlir_sparsity_95_stride_4,95,4,32
215,,,0.0,,,,,results_vector_mlir_sparsity_95_stride_4,95,4,32
216,,,,,4397270.0,,,results_vector_mlir_sparsity_95_stride_4,95,4,32
